store_id	day		revenue		transactions	customers
1		2016-08-01	6708.16		77		1465
1		2016-08-02	3556.00		36		762
1	2016-08-03	2806.82	30	650
1	2016-08-04	6604.80	103	1032
1	2016-08-05	6409.46	66	859
1	2016-08-06	6909.54	123	1604
1	2016-08-07	5596.67	61	730
1	2016-08-08	4254.43	63	1439
1	2016-08-09	2872.62	30	635
1	2016-08-10	2715.27	48	524
1	2016-08-11	3475.64	64	1416
1	2016-08-12	4049.45	47	1024
1	2016-08-13	3211.20	33	669
1	2016-08-14	1502.08	30	721
2	2016-08-01	4828.00	71	1704
2	2016-08-02	17056.00	213	2132
2	2016-08-03	7209.78	108	2475
2	2016-08-04	12473.08	166	2162
2	2016-08-05	8070.00	147	1614
2	2016-08-06	8220.00	137	1781
2	2016-08-07	5697.40	93	1401
2	2016-08-08	24547.27	267	2935
2	2016-08-09	5314.72	90	2252
2	2016-08-10	5530.20	85	2127
2	2016-08-11	9024.00	125	1880
2	2016-08-12	6840.00	76	1900
2	2016-08-13	7703.43	113	1586
2	2016-08-14	4960.00	90	1984
3	2016-08-01	4826.50	57	1379
3	2016-08-02	15845.45	158	1743
3	2016-08-03	3399.40	49	739
3	2016-08-04	5490.50	70	834
3	2016-08-05	4060.47	53	791
3	2016-08-06	2198.20	38	758
3	2016-08-07	10044.55	115	1270
3	2016-08-08	2983.22	51	1183
3	2016-08-09	9987.92	123	1603
3	2016-08-10	8051.20	84	1258
3	2016-08-11	7616.00	109	1088
3	2016-08-12	12290.00	123	1229
3	2016-08-13	9798.00	107	1704
3	2016-08-14	7724.00	77	1931
4	2016-08-01	7393.33	123	2218
4	2016-08-02	13286.00	190	3796
4	2016-08-03	19661.13	249	3982
4	2016-08-04	10399.26	193	3659
4	2016-08-05	10312.08	134	1741
4	2016-08-06	13722.67	214	2573
4	2016-08-07	12885.22	145	2606
4	2016-08-08	8406.78	145	2609
4	2016-08-09	19693.13	237	3559
4	2016-08-10	16824.07	230	3457
4	2016-08-11	8752.72	123	2219
4	2016-08-12	13307.60	157	3914
4	2016-08-13	11011.50	136	2447
4	2016-08-14	16711.58	206	3920
5	2016-08-01	4766.83	64	773
5	2016-08-02	4804.19	61	973
5	2016-08-03	6884.62	138	1790
5	2016-08-04	4950.00	69	1100
5	2016-08-05	15665.50	165	1649
5	2016-08-06	3210.67	37	672
5	2016-08-07	4712.50	63	1508
5	2016-08-08	6498.00	72	1444
5	2016-08-09	4651.43	53	740
5	2016-08-10	3887.33	69	1666
5	2016-08-11	6858.00	127	1905
5	2016-08-12	2824.00	44	1059
5	2016-08-13	4626.67	58	1388
5	2016-08-14	9029.19	124	1979
6	2016-08-01	2311.71	25	348
6	2016-08-02	3146.04	39	971
6	2016-08-03	4575.18	53	894
6	2016-08-04	2305.00	33	461
6	2016-08-05	3962.70	78	777
6	2016-08-06	3155.00	53	631
6	2016-08-07	8072.31	82	1060
6	2016-08-08	5221.33	54	979
6	2016-08-09	5253.82	82	903
6	2016-08-10	6753.16	72	1365
6	2016-08-11	2877.19	31	495
6	2016-08-12	4579.00	48	482
6	2016-08-13	3537.18	48	1066
6	2016-08-14	10493.54	107	1392
7	2016-08-01	7875.69	146	1896
7	2016-08-02	2867.50	39	620
7	2016-08-03	5445.00	62	990
7	2016-08-04	8890.00	127	1778
7	2016-08-05	10202.21	103	1958
7	2016-08-06	5659.65	78	1318
7	2016-08-07	8759.13	131	1961
7	2016-08-08	3116.00	41	533
7	2016-08-09	6754.62	81	1709
7	2016-08-10	6483.75	100	1995
7	2016-08-11	2385.71	40	835
7	2016-08-12	6445.38	113	1470
7	2016-08-13	1378.60	23	565
7	2016-08-14	5001.75	64	1026
8	2016-08-01	8922.67	127	1912
8	2016-08-02	3478.23	50	1109
